token 1   :CONST   const at line 1
token 2   :INT     int   at line 1
token 3   :ID      max_num at line 1
token 4   :EQU     =     at line 1
token 5   :NUM     1024  at line 1
token 6   :SEMI    ;     at line 1
token 7   :INT     int   at line 3
token 8   :ID      factorial at line 3
token 9   :LPAR    (     at line 3
token 10  :INT     int   at line 3
token 11  :ID      n     at line 3
token 12  :RPAR    )     at line 3
token 13  :LBRA    {     at line 3
token 14  :IF      if    at line 4
token 15  :LPAR    (     at line 4
token 16  :ID      n     at line 4
token 17  :LEQ     <=    at line 4
token 18  :NUM     1     at line 4
token 19  :RPAR    )     at line 4
token 20  :RETURN  return at line 5
token 21  :LPAR    (     at line 5
token 22  :NUM     1     at line 5
token 23  :RPAR    )     at line 5
token 24  :SEMI    ;     at line 5
token 25  :ELSE    else  at line 6
token 26  :RETURN  return at line 7
token 27  :LPAR    (     at line 7
token 28  :ID      n     at line 7
token 29  :MULT    *     at line 7
token 30  :ID      factorial at line 7
token 31  :LPAR    (     at line 7
token 32  :ID      n     at line 7
token 33  :MINUS   -     at line 7
token 34  :NUM     1     at line 7
token 35  :RPAR    )     at line 7
token 36  :RPAR    )     at line 7
token 37  :SEMI    ;     at line 7
token 38  :RBRA    }     at line 8
token 39  :INT     int   at line 10
token 40  :ID      mod   at line 10
token 41  :LPAR    (     at line 10
token 42  :INT     int   at line 10
token 43  :ID      x     at line 10
token 44  :COMMA   ,     at line 10
token 45  :INT     int   at line 10
token 46  :ID      y     at line 10
token 47  :RPAR    )     at line 10
token 48  :LBRA    {     at line 10
token 49  :ID      x     at line 11
token 50  :EQU     =     at line 11
token 51  :ID      x     at line 11
token 52  :MINUS   -     at line 11
token 53  :ID      x     at line 11
token 54  :DIV     /     at line 11
token 55  :ID      y     at line 11
token 56  :MULT    *     at line 11
token 57  :ID      y     at line 11
token 58  :SEMI    ;     at line 11
token 59  :RETURN  return at line 13
token 60  :LPAR    (     at line 13
token 61  :ID      x     at line 13
token 62  :RPAR    )     at line 13
token 63  :SEMI    ;     at line 13
token 64  :RBRA    }     at line 14
token 65  :VOID    void  at line 16
token 66  :ID      swap  at line 16
token 67  :LPAR    (     at line 16
token 68  :INT     int   at line 16
token 69  :ID      x     at line 16
token 70  :COMMA   ,     at line 16
token 71  :INT     int   at line 16
token 72  :ID      y     at line 16
token 73  :RPAR    )     at line 16
token 74  :LBRA    {     at line 16
token 75  :INT     int   at line 17
token 76  :ID      temp  at line 17
token 77  :SEMI    ;     at line 17
token 78  :PRINTF  printf at line 19
token 79  :LPAR    (     at line 19
token 80  :STRING  " x = " at line 19
token 81  :COMMA   ,     at line 19
token 82  :ID      x     at line 19
